"GeneIds","Gene","Donor01_ntCtrl_O2","Donor01_ntCtrl_RA","Donor02_ntCtrl_O2","Donor02_ntCtrl_RA","Donor03_ntCtrl_O2","Donor03_ntCtrl_RA","Donor04_ntCtrl_O2","Donor04_ntCtrl_RA","Donor05_ntCtrl_O2","Donor05_ntCtrl_RA"
"ENSG00000187164.20","SHTN1",790.831684963493,666.540677740976,620.78150139024,626.479268871294,850.62084040615,598.485078047249,822.118630253292,711.778331528713,744.816657167423,799.242913296276
"ENSG00000187187.14","ZNF546",63.8431829006986,61.6849984541777,35.5266521879956,58.3037275774379,135.245154541564,62.0248171794422,54.3100664081448,35.9057318575315,68.9881637856618,34.6868533799469
"ENSG00000187189.11","TSPYL4",723.556072874584,711.090954402327,703.05374856244,637.91137231785,591.994141370529,675.744060849712,765.771936354842,678.688735503144,677.106051970384,554.98965407915
"ENSG00000187193.9","MT1X",3220.30506437825,1798.57463085376,1873.56344696693,1471.31171357182,1876.82310951538,908.60916394446,3374.6917514361,1641.10315607659,2561.50497018985,3546.73075809957
"ENSG00000187210.14","GCNT1",1009.82066717127,1309.66390236509,342.177755284379,472.145872342782,1144.83836958429,944.518268627295,405.288870570781,548.442453274844,1022.04687089869,875.843047843659
"ENSG00000187231.14","SESTD1",1092.88545352594,1177.72654456032,1533.25551548192,1483.88702736303,1544.64202818523,1315.57901701659,1478.59155796174,1368.64201433414,995.218140537602,1166.34544490071
"ENSG00000187239.19","FNBP1",886.939702233361,783.056785932201,796.54493853085,785.385506778429,960.952413847952,783.471374898217,1038.68002005577,796.966440445601,945.393355581291,797.797627738778
"ENSG00000187240.17","DYNC2H1",234.091670635895,430.652674393056,158.935022946296,243.503803411653,196.935926788593,176.281059352099,145.279427641787,140.806791598163,380.712459409763,196.558835819699
"ENSG00000187244.12","BCAM",6628.70724827039,6864.74070759965,4008.9022258454,3473.07302706385,5072.87965631339,7416.86234903645,3454.12022355801,3175.89718449656,7324.24338857776,5054.16359456976
"ENSG00000187257.16","RSBN1L",879.3883580193,1116.61270349924,1097.58657022913,1080.33377569959,1380.92420952965,1285.11068577055,996.589718589458,956.782148909516,1057.81851138015,807.914626641263
"ENSG00000187266.14","EPOR",32.9513202068122,41.6944896958794,29.9171807898911,27.4370482717355,15.4226930617573,27.2038671839659,5.43100664081448,17.6008489497703,29.3838475383374,18.7887122474712
"ENSG00000187325.5","TAF9B",251.253816576943,296.43068701591,327.219164889434,301.80753098909,336.926525349159,321.005632770797,342.832294201414,335.824197961618,263.177069256413,245.698544774624
"ENSG00000187372.11","PCDHB13",30.8918626938864,33.6982861925601,9.34911899684096,12.5753137912121,47.4544401900223,46.7906515564213,52.9523147479412,40.1299356054764,35.7716404814543,13.0075700174801
"ENSG00000187391.23","MAGI2",30.8918626938864,59.971526274895,18.6982379936819,30.8666793057024,20.1681370807595,32.644640620759,25.118405713767,36.6097658155223,51.1023435449346,33.2415678224491
"ENSG00000187398.12","LUZP2",31.5783485315283,2.28462957237695,0,0,17.7954150712584,10.8815468735863,6.10988247091629,9.15244145388058,6.38779294311683,53.4755656274181
"ENSG00000187446.12","CHP1",6155.7185061351,5721.28360662498,5839.45972542686,5649.7455232882,5406.24709864829,5465.80099460242,5955.77765748318,6629.88778239949,5598.26173534759,7120.92194179159
"ENSG00000187479.9","C11orf96",7.55134421406113,26.8443974754292,3.73964759873638,21.7209965484573,2.37272200950112,4.35261874943454,18.3296474127489,32.3855620675774,37.0491990700776,11.5622844599823
"ENSG00000187492.9","CDHR4",444.842822791965,913.280671557687,0,3.42963103396694,18.9817760760089,16.3223203103795,14.256392432138,23.2331206136969,605.562771007476,26.0151400349602
"ENSG00000187498.16","COL4A1",579.394046969781,23.4174531168638,435.668945252789,928.286799860384,20.1681370807595,35.9091046828349,356.40981080345,696.289584452915,21.7184960065972,1602.82168326505
"ENSG00000187510.11","PLEKHG7",364.52397978786,420.942998710454,71.0533043759913,82.3111448152065,291.844807168637,231.776948407389,92.3271128938462,105.605093698622,447.145506018178,92.4982756798583
"ENSG00000187514.17","PTMA",19818.1596468846,24853.9139604958,22458.4536542113,21651.2607174333,23536.2159732463,25581.4285451141,28188.9610933175,27879.7447364362,23698.7118189634,18723.6743973838
"ENSG00000187522.16","HSPA14",232.718698960611,225.607170272224,267.384803309651,276.656903406666,312.012944249397,298.154384336266,295.989861924389,304.846703810022,282.340448085764,250.034401447117
"ENSG00000187527.12","ATP13A5",136.610681690742,253.022725140748,5.60947139810457,2.28642068931129,7.11816602850335,5.44077343679317,6.10988247091629,7.74437353789895,127.755858862337,111.28698792733
"ENSG00000187531.14","SIRT7",1364.0473593945,1423.89538098394,1544.47445827813,1242.66964464069,1312.11527125412,1804.16047164062,1732.49111841982,1616.46196754691,1207.29286624908,1341.22499735795
"ENSG00000187534.6","PRR13P5",32.2648343691703,37.1252305511255,20.5680617930501,28.5802586163911,35.5908301425168,41.3498781196281,28.512784864276,67.5872599671181,33.2165233042075,44.8038522824314
"ENSG00000187535.14","IFT140",662.458833324453,1112.61460174758,598.343615797821,552.170596468677,561.148755247014,729.063640530285,615.740377902342,599.836932208173,755.03712587641,435.030952806834
"ENSG00000187554.14","TLR5",638.431829006986,693.385075216405,775.976876737799,954.580637787464,456.748986828965,441.790803067606,458.241185318722,504.088313921423,734.596188458436,510.185801796719
"ENSG00000187555.17","USP7",3368.5860053089,3454.35991343395,4369.77821912346,4680.30315102021,4351.57216542505,3797.65985888163,4052.20982987771,3511.01734850019,3398.30584573815,3980.3164253489
"ENSG00000187566.6","NHLRC1",102.286389808646,81.6755072124761,87.881718570305,86.8839861938291,83.0452703325391,76.1708281151044,82.1439754423191,100.676855992686,117.53539015335,85.2718478923694
"ENSG00000187583.11","PLEKHN1",851.242438675981,537.459106901678,895.645599897364,741.943513681514,542.166979171005,706.212392095754,785.459335427795,730.787248394465,548.072634519424,1056.50374253088
"ENSG00000187601.5","MAGEH1",85.8107297052401,99.3813863983975,93.4911899684096,142.901293081956,172.022345688831,198.044153099271,164.96682671474,190.08916865752,120.090507330596,63.5925645299026
"ENSG00000187605.16","TET3",715.318242822881,825.322433021174,710.533043759913,754.518827472726,1148.39745259854,1068.56790298618,976.223443686403,865.961768328701,806.139469421344,692.29178204144
"ENSG00000187607.16","ZNF286A",241.643014849956,174.774162286837,192.591851334924,230.92848962044,191.00412176484,196.955998411913,200.947245710136,206.281949691308,157.139706400674,190.777693589708
"ENSG00000187608.10","ISG15",609.599423826025,261.590086037161,409.491412061634,307.523582712369,150.667847603321,200.220462473989,236.927664705532,200.649678027382,794.641442123734,241.36268810213
"ENSG00000187609.16","EXD3",409.145559234585,347.263695001297,381.444055071111,325.814948226859,347.603774391914,478.788062437799,432.443903774853,332.304028171664,411.373865536724,297.728824844544
"ENSG00000187624.9","C17orf97",407.086101721659,630.557761976039,112.189427962091,107.461772397631,297.77661219239,430.909256194019,185.333101617794,187.977066783547,459.921091904412,309.291109304526
"ENSG00000187626.9","ZKSCAN4",187.410633676244,185.626152755627,205.680617930501,179.484024110936,231.340395926359,221.983556221161,203.662749030543,229.515070305005,213.352284300102,157.536125767259
"ENSG00000187630.18","DHRS4L2",289.697023484891,240.457262492674,252.426212914706,182.913655144903,357.094662429918,323.181942145514,239.643168025939,207.69001760729,267.009745022284,299.174110402042
"ENSG00000187634.13","SAMD11",29.5188910186026,16.5635643997329,5.60947139810457,2.28642068931129,9.49088803800447,15.2341656230209,42.7691772964141,21.1210187397244,12.7755858862337,8.67171334498672
"ENSG00000187650.4","VMAC",205.945751292576,175.916477073025,173.893613341242,180.627234455592,274.049392097379,275.303135901734,170.397833355554,137.286621808209,183.968436761765,203.785263607188
"ENSG00000187653.11","TMSB4XP8",96.1080172698689,53.6887949508584,100.970485165882,77.7383034365839,40.336274161519,28.2920218713245,76.7129688015046,51.3944789333294,49.8247849563113,86.7171334498672
"ENSG00000187676.8","B3GLCT",265.670019167423,311.851936629454,231.858151121656,301.80753098909,215.917702864602,194.779689037196,230.138906404514,250.63608904473,258.06683490192,257.260829234606
"ENSG00000187678.10","SPRY4",113.270163210917,65.1119428127432,123.408370758301,96.0296689510742,27.2863031092628,43.5261874943454,59.7410730489593,40.8339695634672,88.1515426150123,156.090840209761
"ENSG00000187689.10","AMTN",28.8324051809607,29.1290270478062,16.8284141943137,32.0098896503581,17.7954150712584,19.5867843724554,10.862013281629,26.0492564456601,10.2204687089869,31.7962822649513
"ENSG00000187713.7","TMEM203",576.648103619213,664.827205561693,680.615862970022,629.908899905261,550.471506204259,796.52923114652,668.013816820181,794.150304613638,632.391501368566,595.457649689088
"ENSG00000187720.15","THSD4",1210.96101760035,739.648824057038,1073.27886083734,1179.79307568463,670.293967684065,1018.51278736768,780.707204617082,1037.04202012047,637.50173572306,1893.3240803221
"ENSG00000187726.9","DNAJB13",78.9458713288209,180.485736217779,13.0887665955773,11.4321034465565,2.37272200950112,6.52892812415181,9.50426162142535,10.5605093698622,103.482245678493,7.22642778748893
"ENSG00000187735.16","TCEA1",2017.5818768296,2416.56693018172,1929.65816094797,2045.20330658895,2224.4268839073,2280.7722247037,2818.69244658272,2381.74687988292,2635.60336833,2094.21877281429
"ENSG00000187736.14","NHEJ1",120.821507424978,179.914578824685,119.668723159564,171.481551698347,154.226930617573,203.484926536065,116.766642777511,142.918893472135,189.078671116258,128.630414617303
"ENSG00000187741.16","FANCA",87.8701872181658,139.362403914994,117.798899360196,185.200075834215,135.245154541564,175.19290466474,65.8509555198756,76.7397014209987,137.976327571324,82.3812767773738
"ENSG00000187742.15","SECISBP2",1238.42045110602,1226.84608036642,1441.63414931288,1498.74876184355,1276.5244411116,1175.20706234733,1274.9288089312,1101.81314425562,1218.79089354669,1195.25115605067
"ENSG00000187764.12","SEMA4D",302.053768562445,410.662165634757,355.266521879956,329.244579260826,336.926525349159,369.972593701936,391.711353968745,364.689590239242,431.814802954698,235.581545872139
"ENSG00000187778.14","MCRS1",1112.79354281755,1302.81001364796,1099.4563940285,1244.95606533,1214.83366886457,1404.80770138,1171.06080692562,1450.30995346108,1143.41493681791,1293.53057396052
"ENSG00000187790.12","FANCM",130.432309151965,173.631847500648,119.668723159564,166.908710319724,151.854208608071,162.135048416437,118.803270267817,125.318044522365,130.310976039583,125.739843502307
"ENSG00000187792.5","ZNF70",126.999879963755,129.081570839298,140.236784952614,120.037086188843,151.854208608071,121.873324984167,130.344159379548,109.125263488576,139.253886159947,101.169989024845
"ENSG00000187800.14","PEAR1",39.8161785832314,11.4231478618848,74.7929519747277,84.5975655045178,0,4.35261874943454,10.1831374515272,4.9282377059357,17.8858202407271,40.467995609938
"ENSG00000187801.15","ZFP69B",72.7674987900436,51.9753227715757,65.4438329778867,61.7333586114049,49.8271621995234,51.1432703058558,90.9693612336426,58.4348185132375,65.1554880197917,65.0378500874004
"ENSG00000187815.10","ZFP69",70.7080412771178,70.2523593505913,37.3964759873638,32.0098896503581,107.958851432301,93.5813031128426,55.6678180683485,51.3944789333294,60.0452536652982,88.162419007365
"ENSG00000187824.9","TMEM220",65.2161545759825,119.371895156696,5.60947139810457,9.14568275724517,32.0317471282651,69.6418999909526,27.1550332040724,30.9774941515958,112.425155798856,36.1321389374447
"ENSG00000187837.4","H1-2",643.23722987048,679.677297782144,422.580178657211,245.790224100964,963.325135857453,979.339218622771,541.742912421245,554.07472493877,767.812711762643,709.635208731413
"ENSG00000187840.5","EIF4EBP1",724.929044549868,390.671656876459,577.775554004771,602.471851633525,489.967094961981,705.124237408395,970.792437045589,827.943934597197,891.73589485911,1177.9077293607
"ENSG00000187860.11","CCDC157",172.307945248122,346.692537608203,108.449780363355,112.034613776253,67.6225772707818,124.049634358884,112.014511966799,126.726112438346,210.797167122855,111.28698792733
"ENSG00000187866.10","PABIR1",665.204776675021,713.946741367798,701.183924763072,693.928679205977,822.148176292137,710.565010845188,897.473847394593,750.500199218208,729.485954103942,624.363360839044
"ENSG00000187889.13","FYB2",172.307945248122,380.390823800763,136.497137353878,165.765499975069,32.0317471282651,60.9366624920835,25.118405713767,23.2331206136969,144.36412051444,264.487257022095
"ENSG00000187944.5","C2orf66",26.086461830393,31.9848140132773,52.3550663823094,24.0074172377686,7.11816602850335,19.5867843724554,15.6141440923416,13.3766452018255,21.7184960065972,21.6792833624668
"ENSG00000187954.14","ZFTRAF1",541.637325899475,598.572947962762,753.538991145381,580.750855085068,474.544401900223,1107.74147173109,739.295778980872,770.917183999941,448.423064606802,436.476238364332
"ENSG00000187957.8","DNER",164.070115196419,273.58439129214,91.6213661690414,93.7432482617629,4.74544401900223,4.35261874943454,42.0903014663122,73.9235655890354,203.131815591115,153.200269094765
"ENSG00000187961.15","KLHL17",615.091310527161,541.457208653338,706.793396161176,583.037275774379,577.757809313522,674.655906162353,482.001839372285,389.33077876892,493.137615208619,437.921523921829
"ENSG00000187987.10","ZSCAN23",21.2810609668995,31.9848140132773,39.266299786732,26.2938379270798,29.659025118764,33.7327953081177,28.512784864276,27.4573243616417,30.6614061269608,11.5622844599823
"ENSG00000187994.14","RINL",77.572899653537,158.781755280198,112.189427962091,116.607455154876,121.008822484557,192.603379662478,126.270904398937,141.510825556154,95.8168941467525,75.1548489898849
"ENSG00000188001.10","TPRG1",31.5783485315283,59.971526274895,9.34911899684096,21.7209965484573,52.1998842090246,45.7024968690626,36.6592948254978,34.4976639415499,90.706659792259,24.5698544774624
"ENSG00000188010.16","MORN2",357.659121411441,688.815816071651,166.414318143769,217.209965484573,187.445038750588,187.162606225685,281.05459366215,268.940971952491,550.627751696671,216.792833624668
"ENSG00000188013.6","MEIS3P2",83.7512721923143,165.064486604235,149.585903949455,117.750665499532,40.336274161519,88.1405296760494,37.3381706555996,73.9235655890354,62.6003708425449,143.083270192281
"ENSG00000188015.10","S100A3",166.129572709345,190.766569293476,142.106608751983,181.770444800248,78.2998263135369,136.019335919829,59.7410730489593,55.6186826812743,160.972382166544,234.136260314641
"ENSG00000188021.9","UBQLN2",2907.95400825118,2483.96350256684,3016.02578838089,2502.48744445121,3193.6838247885,2684.47761371375,1612.3300964918,1526.34562092408,2948.60522254273,2517.68744116114
"ENSG00000188026.13","RILPL1",447.588766142532,434.650776144715,736.710576951067,519.017496473663,262.185782049873,411.322471821564,543.77953991155,481.559227265717,411.373865536724,449.483808381812
"ENSG00000188033.10","ZNF490",113.956649048559,114.802636011942,125.278194557669,96.0296689510742,105.5861294228,88.1405296760494,102.510250345373,102.084923908668,100.927128501246,70.8189923173915
"ENSG00000188037.14","CLCN1",20.5945751292576,27.4155548685234,26.1775331911547,46.8716241308815,16.6090540665078,79.4352921771803,29.1916606943778,64.7711241351549,5.11023435449346,92.4982756798583
"ENSG00000188039.17","NWD1",153.77282763179,384.960082945517,48.615418783573,58.3037275774379,179.140511717334,269.862362464941,82.1439754423191,104.19702578264,288.728241028881,67.928421202396
"ENSG00000188042.8","ARL4C",1581.66336992699,634.555863727699,1299.52754056089,1345.55857565969,854.179923420402,816.116015518976,1066.51392908994,1009.58469575883,835.523316959682,2672.33299581341
"ENSG00000188064.10","WNT7B",3685.74246229947,4319.09220657863,3274.0614726937,2433.89482377187,5171.34761970768,5945.67721172758,3943.58969706142,4365.01053954305,3661.48291499457,2776.39355595325
"ENSG00000188070.9","ZFTA",405.713130046375,418.087211744982,310.39075069512,345.249524086005,323.876554296902,605.014006171401,393.74798145905,388.626744810929,318.112088567218,351.204390471962
