ENSEMBL,Gene,TA003_ntCtrl_O2,TA003_ntCtrl_RA,TA012_ntCtrl_O2,TA012_ntCtrl_RA,TA020_ntCtrl_O2,TA020_ntCtrl_RA,TA034_ntCtrl_O2,TA034_ntCtrl_RA,TA039_ntCtrl_O2,TA039_ntCtrl_RA
ENSG00000167258.16,CDK12,1713.468651,1746.599308,1817.468733,2013.193417,2038.168206,1737.783036,1928.686233,1740.371944,1748.977708,1964.143073
ENSG00000131748.16,STARD3,1007.76121,1036.079511,1047.101328,1099.768352,1169.751951,1186.088609,1089.595707,1068.723548,1001.605933,965.4507524
ENSG00000173991.6,TCAP,6.864858376,15.99240701,13.0887666,6.859262068,2.37272201,11.96970156,16.29301992,13.3766452,10.22046871,4.335856672
ENSG00000161395.14,PGAP3,700.9020402,901.8575237,617.0418538,577.3212241,828.0799813,973.8984452,735.9013998,794.8543386,820.1926139,554.9896541
ENSG00000141736.14,ERBB2,7492.306432,8732.425383,9437.000715,8513.487437,8760.089659,8951.160458,9135.632046,9189.05122,7561.869286,6964.831102
ENSG00000141741.12,MIEN1,753.7614497,884.7228019,964.8290805,757.9484585,718.9347689,1000.014158,836.3750227,1015.216967,756.3146845,731.3144921
ENSG00000141738.14,GRB7,662.4588333,1052.071918,809.6337051,723.6521482,1004.847771,1495.12454,919.8767498,811.7511536,835.523317,492.8423751
ENSG00000073605.19,GSDMB,656.2804608,624.2750307,538.5092542,384.1186758,858.9253674,770.4135186,765.0930605,523.8012647,580.0115992,378.6648161
ENSG00000172057.10,ORMDL3,1345.512242,1548.407693,1200.426879,1046.037465,1172.124673,1447.245734,1321.092365,1480.583414,1273.725913,1277.632433
ENSG00000108344.15,PSMD3,2465.857129,2665.020396,2548.569839,2612.235638,2604.062405,3065.331754,2796.289544,3269.533701,2322.601514,2767.721843
ENSG00000108342.13,CSF3,106.4053048,6.853888717,18.69823799,99.45929999,8.304527033,1.088154687,26.47615737,57.0267506,12.77558589,39.02271005
ENSG00000008838.21,MED24,2005.911618,1895.671388,2185.824021,2696.833203,1831.741391,1837.893267,1787.480061,2494.392313,1759.198177,2095.664058
ENSG00000126351.13,THRA,353.5402064,889.292061,396.4026455,413.8421448,269.3039481,399.3527703,325.8603984,442.8373596,365.3817563,211.0116914
ENSG00000126368.6,NR1D1,167.5025444,343.8367506,297.3019841,264.0815896,219.4767859,381.9422953,524.0921408,329.4878923,206.9644914,211.0116914
ENSG00000188895.12,MSL1,2356.019395,2551.931232,2814.084818,2532.210913,2543.557994,2577.838454,2818.692447,2443.701868,2021.097687,2263.317183
ENSG00000108349.17,CASC3,1773.879404,2009.331709,1813.729085,2026.911941,2073.759036,1872.714217,2216.529585,2136.039029,1649.328138,1664.968962
