"ENSEMBL","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000253552.8","HOXA-AS2",29.1877198088584,-0.245888633491577,1.05545325272181,-0.232969705534071,0.815784930040039,0.999090242992625
"ENSG00000136271.11","DDX56",1383.25141464435,0.0258536577739062,0.111025757106728,0.232861801149919,0.815868721347782,0.999090242992625
"ENSG00000114805.18","PLCH1",45.2426084483862,0.144236104215917,0.619495677663952,0.232828265662506,0.815894763187028,0.999090242992625
"ENSG00000273391.1","lncRNA*5044",10.676083278002,-0.134557990533901,0.57811125828482,-0.232754489046135,0.815952054818447,NA
"ENSG00000115290.11","GRB14",11.9504583786968,0.155131857107286,0.666768286838708,0.232662320883316,0.81602362988719,NA
"ENSG00000230082.1","PRRT3-AS1",9.31410018127531,-0.153655957940458,0.660514507996188,-0.232630708455756,0.816048179516812,NA
"ENSG00000168772.12","CXXC4",42.0434479483998,-0.127566564548592,0.548676450755641,-0.232498705517444,0.816150692520673,0.999090242992625
"ENSG00000091831.25","ESR1",9.24985683740101,-0.152003811478809,0.653849164910356,-0.23247534697035,0.816168833011434,NA
"ENSG00000143498.18","TAF1A",73.9647237760872,-0.0700314890314044,0.30132914703217,-0.232408612711892,0.816220660073746,0.999090242992625
"ENSG00000256167.1","ATF4P4",9.8282640507533,0.14108776264766,0.607100540489299,0.232396041904276,0.816230422885969,NA
"ENSG00000255310.2","lncRNA*5211",129.946730124836,-0.0549556925567768,0.23653272449089,-0.232338644367551,0.816274999650309,0.999090242992625
"ENSG00000173338.13","KCNK7",11.5272713526544,-0.156879694036983,0.675612385575775,-0.232203697543653,0.816379806015018,NA
"ENSG00000185101.13","ANO9",1289.09704378805,0.0358458468442946,0.154415564872197,0.23213881886818,0.81643019516608,0.999090242992625
"ENSG00000123178.16","SPRYD7",622.273192148303,-0.0356812269161709,0.153729807960511,-0.232103502824491,0.816457624304292,0.999090242992625
"ENSG00000185825.17","BCAP31",5256.22208092903,-0.0282628006160012,0.121772479915856,-0.232095138700719,0.816464120554892,0.999090242992625
"ENSG00000266010.4","GATA6-AS1",11.27382079461,-0.140378932883284,0.605208184533676,-0.231951477971912,0.816575700988504,NA
"ENSG00000110871.15","COQ5",593.000250927772,-0.0329782779568061,0.142189812840292,-0.23193136904855,0.816591319766378,0.999090242992625
"ENSG00000176438.13","SYNE3",10.2838714238493,0.156247252017568,0.673921222942065,0.231847947057456,0.816656115139418,NA
"ENSG00000146859.6","TMEM140",38.2904988944644,-0.0854667092584566,0.368635014501652,-0.231846422331847,0.816657299433107,0.999090242992625
"ENSG00000068912.15","ERLEC1",1652.38119428587,0.0196330305732696,0.0846930970807545,0.231813822495469,0.816682620666639,0.999090242992625
"ENSG00000148218.16","ALAD",1390.54587312317,-0.0213031916847904,0.0920384465321225,-0.231459705019634,0.816957686251043,0.999090242992625
"ENSG00000153989.8","NUS1",1551.32801370425,0.0234168211519528,0.101200051206077,0.231391396277738,0.81701074859405,0.999090242992625
"ENSG00000104237.11","RP1",126.832296380756,-0.129192427283514,0.558499145241487,-0.231320725168976,0.817065646910243,0.999090242992625
"ENSG00000185811.21","IKZF1",7.16779794896683,0.203706673078057,0.880650929614973,0.23131375466454,0.817071061745244,NA
"ENSG00000072849.11","DERL2",691.209511737833,0.023782793065132,0.102830052338349,0.231282514443131,0.817095329915995,0.999090242992625
"ENSG00000131437.16","KIF3A",706.313481201134,-0.0322812713157545,0.139603803632656,-0.231234898160062,0.81713231975068,0.999090242992625
"ENSG00000162639.16","HENMT1",97.7894575673581,-0.0539099721194097,0.233189444773526,-0.23118530159788,0.817170848361851,0.999090242992625
"ENSG00000069345.12","DNAJA2",2948.54206702831,0.0211683254454627,0.091573628124195,0.231161808034444,0.817189099264306,0.999090242992625
"ENSG00000179362.14","HMGN2P46",18.0664155715776,-0.118538626508825,0.512813161756783,-0.231153635181161,0.817195448343466,0.999090242992625
"ENSG00000170584.11","NUDCD2",589.014013366562,-0.0325845006563066,0.141047948022281,-0.231017190346926,0.817301447252377,0.999090242992625
"ENSG00000186026.7","ZNF284",72.2963132024574,0.0655410751995091,0.283759682435288,0.230973881268196,0.817335093160983,0.999090242992625
"ENSG00000056972.21","TRAF3IP2",1251.8856383655,-0.0393513194533156,0.17045033910129,-0.230866771288328,0.817418306087636,0.999090242992625
"ENSG00000101003.12","GINS1",72.8250592862494,-0.0648959693222245,0.281120126075883,-0.230847823768786,0.81743302648532,0.999090242992625
"ENSG00000153037.15","SRP19",240.433105103393,0.0341192272008388,0.147904385441756,0.230684351237677,0.817560031570126,0.999090242992625
"ENSG00000091483.8","FH",2117.48573501515,0.0233423802962019,0.101195438408252,0.230666329069417,0.817574033646923,0.999090242992625
"ENSG00000115145.10","STAM2",1268.17396386439,0.024824406621337,0.107625909536607,0.230654558258515,0.817583178848662,0.999090242992625
"ENSG00000280239.1","TEC*916",13.0217651440376,0.153117672424548,0.663922762092838,0.230625731134577,0.817605575869608,NA
"ENSG00000156603.20","MED19",314.623117446266,0.0359046530182755,0.155684668726608,0.230624205401536,0.817606761280769,0.999090242992625
"ENSG00000180769.10","WDFY3-AS2",46.3892018360963,-0.0837015095551444,0.363205389648611,-0.230452278354467,0.817740341868296,0.999090242992625
"ENSG00000152076.19","CCDC74B",67.9742286796224,-0.168053109071867,0.729261449464099,-0.230442880527088,0.817747643764997,0.999090242992625
"ENSG00000232677.11","LINC00665",251.177225212589,-0.073311441742328,0.318189289229157,-0.23040197839447,0.817779423969729,0.999090242992625
"ENSG00000251739.1","RNU6-1053P",9.03400269793655,-0.163452036978769,0.709456584214466,-0.230390471546259,0.817788364633125,NA
"ENSG00000160447.7","PKN3",123.353004199863,-0.0573371688923599,0.248978363537752,-0.230289765253702,0.81786661305393,0.999090242992625
"ENSG00000163435.16","ELF3",11788.8755714704,0.0433384157876317,0.188228072889232,0.230244166677174,0.817902043577948,0.999090242992625
"ENSG00000267475.3","NUDT19-DT",54.2871370312932,-0.0653299757166765,0.283792613797054,-0.230203227781662,0.817933853802776,0.999090242992625
"ENSG00000178927.19","CYBC1",1420.17571807832,0.0236714229984182,0.102873623898601,0.230101964928836,0.818012538066092,0.999090242992625
"ENSG00000153071.15","DAB2",97.4915747142282,-0.142666915454772,0.620072261781517,-0.230081111909246,0.818028741713273,0.999090242992625
"ENSG00000102760.13","RGCC",377.691887097124,-0.0748672846909495,0.325591394121364,-0.229942455613685,0.818136485289889,0.999090242992625
"ENSG00000174371.17","EXO1",25.8157502456672,-0.0929222234940575,0.404130520094363,-0.229931219924594,0.818145216189482,0.999090242992625
"ENSG00000163635.20","ATXN7",1252.52947449512,0.0256206863878609,0.111445396453614,0.229894524163005,0.818173731465471,0.999090242992625
"ENSG00000103994.18","ZNF106",1898.88533629089,-0.0275474806498989,0.119868199903635,-0.229814752136471,0.818235720962509,0.999090242992625
"ENSG00000286019.2","NOTCH2NLB",53.2675548865658,0.079250715541024,0.344866969897396,0.229800828895276,0.818246540595023,0.999090242992625
"ENSG00000117410.14","ATP6V0B",2473.9121525451,-0.030766661687148,0.133914880052993,-0.229747894147184,0.818287676054297,0.999090242992625
"ENSG00000127054.22","INTS11",1967.2866869485,-0.0221229683546426,0.0963222048623892,-0.229676722893217,0.818342983844778,0.999090242992625
"ENSG00000185670.9","ZBTB3",210.551288686406,0.0386290656490626,0.168261535273307,0.229577518036534,0.818420078296149,0.999090242992625
"ENSG00000048740.19","CELF2",887.588639006795,-0.0409941396626978,0.178659826050628,-0.229453596641704,0.818516383023089,0.999090242992625
"ENSG00000166823.6","MESP1",37.748032953243,0.137146184046079,0.598050109852687,0.229322228667195,0.818618477802381,0.999090242992625
"ENSG00000271918.2","lncRNA*3576",18.1404627999637,0.144494901072524,0.630112011397296,0.22931621435386,0.818623151998425,0.999090242992625
"ENSG00000138400.13","MDH1B",59.7800145488711,0.132405304182728,0.577471667089884,0.22928450299557,0.818647797496315,0.999090242992625
"ENSG00000162769.13","FLVCR1",269.332844644655,0.0307221212013463,0.133997497117128,0.22927384363375,0.818656081801043,0.999090242992625
"ENSG00000151726.16","ACSL1",4560.16740077143,-0.0291038516482477,0.126972769069437,-0.229213333390657,0.81870310988686,0.999090242992625
